company_id,name,description,website,location,is_verified,verified_by,created_at,updated_at,updated_by,deleted_at,deleted_by,employee_count,hr_contact_email,cro_linkedin,registration_number
12,HashiCorp,"Leader in multi-cloud infrastructure automation software including Terraform, Vault, Consul, and Nomad.",https://hashicorp.com,"San Francisco, CA",True,,2026-09-03 17:32:00.017107+00:00,,,,,2000-3000,jobs@hashicorp.com,https://linkedin.com/company/hashicorp,REG-US-551029
13,Spotify,World's most popular audio streaming subscription service with hundreds of millions of active users.,https://spotify.com,"Stockholm, Sweden",True,,2026-09-03 17:32:00.017107+00:00,,,,,8000+,talent@spotify.com,https://linkedin.com/company/spotify,REG-SE-910283
14,Shopify,"Leading global commerce company providing trusted tools to start, grow, market, and manage a retail business.",https://shopify.com,"Ottawa, Canada",True,,2026-09-03 17:32:00.017107+00:00,,,,,10000+,careers@shopify.com,https://linkedin.com/company/shopify,REG-CA-332910
15,Airbnb,"Global travel community that offers end-to-end trips, including where you stay, what you do, and where you eat.",https://airbnb.com,"San Francisco, CA",True,,2026-09-03 17:32:00.017107+00:00,,,,,6000+,jobs@airbnb.com,https://linkedin.com/company/airbnb,REG-US-661920
16,GitHub,World's largest developer platform where over 100 million developers collaborate to build the future of software.,https://github.com,"San Francisco, CA",True,,2026-09-03 17:32:00.017107+00:00,,,,,3000+,recruiting@github.com,https://linkedin.com/company/github,REG-US-102930
17,Retool,Fastest way to build internal tools. Connect to databases and APIs to build clean UIs with drag-and-drop components.,https://retool.com,"San Francisco, CA",True,,2026-09-03 17:32:00.017107+00:00,,,,,250-500,talent@retool.com,https://linkedin.com/company/retool,REG-US-492019
18,Postman,API platform for building and using APIs. Simplifies each step of the API lifecycle and streamlines collaboration.,https://postman.com,"San Francisco, CA",True,,2026-09-03 17:32:00.017107+00:00,,,,,1000-2000,careers@postman.com,https://linkedin.com/company/postman-platform,REG-US-882910
19,MongoDB Inc,Developer data platform empowering innovators to unleash software and data through unified document models.,https://mongodb.com,"New York, NY",True,,2026-09-03 17:32:00.017107+00:00,,,,,4000+,hiring@mongodb.com,https://linkedin.com/company/mongodb,REG-US-772910
20,Elastic,"Search AI company that brings the power of search to enterprise data, observability, and security operations.",https://elastic.co,"Mountain View, CA",True,,2026-09-03 17:32:00.017107+00:00,,,,,3000+,talent@elastic.co,https://linkedin.com/company/elastic-co,REG-US-331029
21,Notion Labs,"The all-in-one connected workspace for note-taking, project management, and team knowledge coordination.",https://notion.so,"San Francisco, CA",True,,2026-09-03 17:32:00.017107+00:00,,,,,500-1000,jobs@notion.so,https://linkedin.com/company/notionhq,REG-US-991829
22,Discord,"Voice, video, and text communication service used by hundreds of millions of people to hang out with their friends.",https://discord.com,"San Francisco, CA",True,,2026-09-03 17:32:00.017107+00:00,,,,,1000-2000,careers@discord.com,https://linkedin.com/company/discord,REG-US-829103
23,Scale AI,Data-centric AI platform providing training data and evaluation infrastructure for frontier models.,https://scale.com,"San Francisco, CA",False,,2026-09-03 17:32:00.017107+00:00,,,,,1000-2000,recruiting@scale.com,https://linkedin.com/company/scaleai,REG-US-441029
24,Databricks,"Pioneer in data lakes and unified analytics, integrating data engineering, science, and AI pipelines.",https://databricks.com,"San Francisco, CA",True,,2026-09-03 17:32:00.017107+00:00,,,,,5000+,careers@databricks.com,https://linkedin.com/company/databricks,REG-US-661029
25,Palantir Technologies,"Software company that builds enterprise data analytics platforms: Gotham, Foundry, and Artificial Intelligence Platform.",https://palantir.com,"Denver, CO",True,,2026-09-03 17:32:00.017107+00:00,,,,,3500+,talent@palantir.com,https://linkedin.com/company/palantir-technologies,REG-US-991028
26,GitLab,The DevSecOps Platform that empowers organizations to maximize the return on software development faster.,https://gitlab.com,Remote / San Francisco,True,,2026-09-03 17:32:00.017107+00:00,,,,,2000-3000,jobs@gitlab.com,https://linkedin.com/company/gitlab-com,REG-US-551920
27,Brex,"Corporate cards, spend management, and travel software engineered for scaling enterprises and startups.",https://brex.com,"Salt Lake City, UT",False,,2026-09-03 17:32:00.017107+00:00,,,,,1000-2000,hiring@brex.com,https://linkedin.com/company/brex,REG-US-771920
28,Ramp,"Finance automation platform combining corporate cards, expense management, bill pay, and accounting automation.",https://ramp.com,"New York, NY",True,,2026-09-03 17:32:00.017107+00:00,,,,,500-1000,recruiting@ramp.com,https://linkedin.com/company/ramp-financial,REG-US-881920
29,Miro,"Visual workspace for innovation where distributed teams brainstorm, build roadmaps, and plan product cycles.",https://miro.com,"Amsterdam, Netherlands",False,,2026-09-03 17:32:00.017107+00:00,,,,,2000-3000,careers@miro.com,https://linkedin.com/company/mirohq,REG-NL-441920
30,Loom,"Video communication platform for async work that brings video messages, screen recording, and transcripts together.",https://loom.com,"San Francisco, CA",True,,2026-09-03 17:32:00.017107+00:00,,,,,250-500,talent@loom.com,https://linkedin.com/company/loom-video,REG-US-331920
